,CustomerID,DayDiff,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,Segment,DayDiff1,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,NextPurchaseDayRange
0,12583.0,12.0,0,3,212,1,6188.889999999995,0,4,2,27.0,39.0,48.0,28.5,18.352606948828328,1
1,14688.0,32.0,8,3,278,1,4949.83,0,4,2,13.0,31.0,53.0,18.555555555555557,10.993164840145642,0
2,12431.0,999.0,4,3,235,1,6419.949999999999,0,4,2,25.0,29.0,84.0,26.0,23.38446777956114,0
3,13767.0,31.0,29,3,339,1,13683.680000000006,0,4,2,20.0,21.0,27.0,11.592592592592593,11.256653619626515,1
4,15513.0,999.0,2,3,308,1,14758.219999999998,0,4,2,7.0,61.0,73.0,24.285714285714285,17.11242720467102,0
5,17920.0,6.0,2,3,429,1,3130.8399999999974,0,4,2,20.0,45.0,72.0,30.90909090909091,21.342232992142808,1
6,14849.0,14.0,5,3,357,1,7127.619999999997,0,4,2,28.0,59.0,83.0,30.636363636363637,9.831304361810057,1
7,17377.0,5.0,4,3,331,1,3458.6099999999947,0,4,2,3.0,12.0,14.0,21.125,22.579858281220456,1
8,12433.0,34.0,12,3,286,1,7893.889999999995,0,4,2,48.0,323.0,330.0,110.0,144.35719587190658,0
9,17346.0,22.0,7,3,388,1,2126.7600000000016,0,4,2,12.0,20.0,65.0,33.5,25.11860753394671,1
10,12921.0,15.0,15,3,585,1,12724.05000000001,0,4,2,38.0,39.0,40.0,18.166666666666668,14.785724434697935,1
11,13468.0,9.0,7,3,268,1,5163.220000000003,0,4,2,20.0,27.0,36.0,10.806451612903226,6.15586091914965,1
12,16928.0,999.0,49,3,204,1,2814.699999999998,0,4,2,6.0,14.0,21.0,18.3125,13.782688416996155,0
13,17690.0,5.0,4,3,231,1,4222.270000000002,0,4,2,10.0,30.0,66.0,28.166666666666668,26.013399810424044,1
14,15752.0,999.0,8,3,405,1,2626.600000000002,0,4,2,54.0,76.0,110.0,55.5,34.3030610878971,0
15,17017.0,21.0,13,3,207,1,6572.3600000000015,0,4,2,28.0,118.0,160.0,29.818181818181817,29.09576663990204,1
